[0926/153108:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0926/154801:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0926/172226:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0926/173814:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/095720:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/101047:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/141415:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/151812:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0927/152839:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1007/184836:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1007/233011:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1007/234542:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1008/233303:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1009/010955:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/123120:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/123301:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1012/142404:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/174200:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1015/151202:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1017/132040:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1017/164420:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1017/173146:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1019/091237:ERROR:file_io.cc(30)] read: expected 4, observed 0
